agency,carpark_id,address,lat,long,price,EV,price_weekend,weekdays_rate_1,weekdays_rate_2,saturday_rate,sunday_publicholiday_rate
LTA,Z17,Parliament House,1.2886695499999998,103.8510990372078,8.01am-6pm: $1.13 per ½ hr (per min basis),1,,8.01am-6pm: $1.13 per ½ hr (per min basis),6.01pm-8am: $2.06 per entry,Same as wkdays,$2.06 per entry
LTA,Z18,Rivervale Mall,1.39224515,103.9043778208493,"Daily: $1.28 for 1st hr, $0.64 for sub. 30 mins or part thereof.",0,,"Daily: $1.28 for 1st hr, $0.64 for sub. 30 mins or part thereof.",-,-,-
LTA,Z19,Sembawang Shopping Centre,1.44186825,103.82493123784184,12am-11.59pm: $1.20 for 1st hr; $0.32 for sub. 15 mins,0,,12am-11.59pm: $1.20 for 1st hr; $0.32 for sub. 15 mins,$1.20 for 1st hr; $0.30 for sub. 15 mins,Same as wkdays,Same as wkdays
LTA,Z20,Shaw Plaza,1.3246273,103.8512911,8am-5pm: $1.04 for 1st hr; $0.53 for sub. ½ hr,1,,8am-5pm: $1.04 for 1st hr; $0.53 for sub. ½ hr,Aft 5pm: $1.55 per entry,Same as wkdays,Same as wkdays
URA,S0108,Shrewsbury Road Off-Street,1.3186024746953806,103.85067798545586,-,0,,-,-,-,
LTA,Z21,Square 2,1.3206362,103.84418667335356,7am-6pm: $1.60 for 1st hr; $0.80 for sub. ½ hr,0,,7am-6pm: $1.60 for 1st hr; $0.80 for sub. ½ hr,Aft 6pm: $2.20 per entry,Same as wkdays,$2.20 for 1st 4hrs; $1.10 for sub. ½ hr; Aft 6pm: $2.20 per entry
LTA,Z22,Sun Plaza,1.4480986,103.8190191,7am-5pm: $1.20 for 1st hr; $0.65 for sub. ½ hr,1,,7am-5pm: $1.20 for 1st hr; $0.65 for sub. ½ hr,5pm-11pm: $2.20 per entry; Aft 11pm: $3.30 per entry,Same as wkdays,Same as wkdays
LTA,Z23,Thomson Plaza,1.35454475,103.83082063425525,7am-12am: $1 for 1st hr; $0.60 for sub. ½ hr,0,7am-11am & 4pm-12am: $1.20 for 1st hr; $0.70 for sub. ½ hr; 11am-4pm: $1.20 for 1st hr; $1 for sub. ½ hr,7am-12am: $1 for 1st hr; $0.60 for sub. ½ hr,7am-12am: $1 for 1st hr; $0.60 for sub. ½ hr,7am-11am & 4pm-12am: $1.20 for 1st hr; $0.70 for sub. ½ hr; 11am-4pm: $1.20 for 1st hr; $1 for sub. ½ hr,Same as Saturday
LTA,Z24,Toa Payoh HDB Hub,1.3327564,103.8476464,7am-6pm: $0.50 per ½ hr,0,,7am-6pm: $0.50 per ½ hr,6pm-1am: $1 per entry; Aft 10.30pm: $2 per entry,Same as wkdays,7am-1am: $1 per entry; Aft 10.30pm: $2 per entry
LTA,Z25,United Square Shopping Mall,1.3172707066757283,103.8436044965638,7pm-6pm: $2.20 for 1st hr; $1.10 for sub. hr,1,7am-6pm: $2.20 for 1st 2hrs; $1.10 for sub. hr; Aft 6pm: $2 per entry,7pm-6pm: $2.20 for 1st hr; $1.10 for sub. hr,Aft 6pm: $2 per entry,7am-6pm: $2.20 for 1st 2hrs; $1.10 for sub. hr; Aft 6pm: $2 per entry,Same as Saturday
